,Agent,Average score,Confidence interval for score mean,Score standard deviation
0,Baseline,-0.2704282428571428,[-0.2704282428571428;-0.2704282428571428],0.0
1,Q-Learning,-0.4165994942857146,[-0.5245832358985163;-0.3086157526729129],0.5442728911935568
2,Approximate Linear,-0.34468570000000087,[-0.3672919693068325;-0.32207943069316924],0.11394288965136913
3,Deep Q-Learning,-0.018971480000000807,[-0.07603146982986127;0.038088509829859646],0.28760075519082895
